procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 473864 378728 3957300    0    0     0     0 1360  615 25  0 75  0  0 2023-04-02 08:03:12
 1  0  91848 473612 378728 3957304    0    0     0     0 2083 2103 25  0 74  0  0 2023-04-02 08:03:13
 2  0  91848 473612 378736 3957304    0    0     0    16 1310  583 24  1 75  0  0 2023-04-02 08:03:14
 1  0  91848 473612 378736 3957320    0    0     0     0 2814 3481 25  1 74  0  0 2023-04-02 08:03:15
 1  0  91848 473612 378736 3957312    0    0     0     0 1563 1062 25  0 75  0  0 2023-04-02 08:03:16
 1  0  91848 471580 378736 3957312    0    0     0    16 1525  972 25  0 75  0  0 2023-04-02 08:03:17
 1  0  91848 471580 378736 3957312    0    0     0     0 1743 1365 25  0 75  0  0 2023-04-02 08:03:18
 1  0  91848 471580 378740 3957312    0    0     0    16 1680 1263 25  0 75  0  0 2023-04-02 08:03:19
 1  0  91848 471580 378740 3957312    0    0     0     0 2106 2293 25  1 74  0  0 2023-04-02 08:03:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0  91848 471580 378740 3957312    0    0     0     0 1662 1256 25  0 75  0  0 2023-04-02 08:03:21
 1  0  91848 471580 378740 3957312    0    0     0     0 1332  592 25  0 75  0  0 2023-04-02 08:03:22
 4  0  91848 471580 378740 3957312    0    0     0     0 1508  918 25  0 75  0  0 2023-04-02 08:03:23
 1  0  91848 473644 378744 3957308    0    0     0    16 1331  598 25  0 75  0  0 2023-04-02 08:03:24
 1  0  91848 473644 378744 3957312    0    0     0     0 2110 2262 25  0 74  0  0 2023-04-02 08:03:25
 1  0  91848 473644 378744 3957312    0    0     0     0 1395  709 25  0 75  0  0 2023-04-02 08:03:26
 1  0  91848 473644 378744 3957312    0    0     0     0 1403  732 25  0 75  0  0 2023-04-02 08:03:27
 1  0  91848 473644 378744 3957312    0    0     0     0 1314  558 25  0 75  0  0 2023-04-02 08:03:28
 1  0  91848 473644 378752 3957312    0    0     0    16 1437  776 25  0 75  0  0 2023-04-02 08:03:29
 1  0  91848 473644 378752 3957312    0    0     0     0 1512 1004 25  0 75  0  0 2023-04-02 08:03:30
 1  0  91848 473644 378752 3957316    0    0     0     0 1558 1027 25  0 75  0  0 2023-04-02 08:03:31
 1  0  91848 473644 378752 3957328    0    0     0    12 1499  864 25  0 75  0  0 2023-04-02 08:03:32
 1  0  91848 473644 378752 3957328    0    0     0     0 1318  566 25  0 75  0  0 2023-04-02 08:03:33
 1  0  91848 473644 378752 3957328    0    0     0    32 1588 1077 25  0 75  0  0 2023-04-02 08:03:34
 1  0  91848 473644 378752 3957344    0    0     0     0 1684 1294 25  0 75  0  0 2023-04-02 08:03:35
 1  0  91848 473644 378752 3957344    0    0     0     0 1568 1060 25  0 75  0  0 2023-04-02 08:03:36
 2  0  91848 471612 378752 3957344    0    0     0     0 1598 1056 25  0 74  0  0 2023-04-02 08:03:37
 1  0  91848 473668 378752 3957344    0    0     0     0 1424  750 25  0 75  0  0 2023-04-02 08:03:38
 1  0  91848 473668 378756 3957344    0    0     0    24 1404  705 25  0 75  0  0 2023-04-02 08:03:39
 1  0  91848 473668 378756 3957344    0    0     0     0 1402  732 25  1 75  0  0 2023-04-02 08:03:40
 1  0  91848 473668 378756 3957344    0    0     0     0 1377  672 25  0 75  0  0 2023-04-02 08:03:41
