procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0  91848 474240 378896 3957396    0    0     0    16 1363  621 25  0 75  0  0 2023-04-02 08:06:10
 1  0  91848 474240 378896 3957396    0    0     0     0 1406  720 25  0 75  0  0 2023-04-02 08:06:11
 1  0  91848 472200 378896 3957408    0    0     0    20 1412  729 25  0 75  0  0 2023-04-02 08:06:12
 1  0  91848 472200 378896 3957424    0    0     0     0 2402 2785 25  0 75  0  0 2023-04-02 08:06:13
 1  0  91848 472200 378896 3957424    0    0     0     0 1343  599 25  0 75  0  0 2023-04-02 08:06:14
 3  0  91848 472200 378904 3957416    0    0     0    44 1318  562 25  0 75  0  0 2023-04-02 08:06:15
 1  0  91848 472200 378904 3957424    0    0     0     0 1371  678 25  0 75  0  0 2023-04-02 08:06:16
 3  0  91848 472200 378904 3957424    0    0     0    24 2297 2302 28  0 72  0  0 2023-04-02 08:06:17
 1  0  91848 473900 378904 3957276    0    0     0     0 1998 1859 26  1 73  0  0 2023-04-02 08:06:18
 1  0  91848 474004 378904 3957436    0    0     0     0 1337  600 25  0 75  0  0 2023-04-02 08:06:19
 1  0  91848 474004 378912 3957436    0    0     0    40 1420  735 25  0 75  0  0 2023-04-02 08:06:20
 1  0  91848 474004 378912 3957436    0    0     0     0 1351  580 25  0 75  0  0 2023-04-02 08:06:21
 1  0  91848 474004 378912 3957436    0    0     0     0 2038 1975 25  0 75  0  0 2023-04-02 08:06:22
 0  0  91848 474004 378912 3957436    0    0     0     0 1632 1588 19  0 81  0  0 2023-04-02 08:06:23
 0  0  91848 474004 378912 3957436    0    0     0     0  383  699  0  0 100  0  0 2023-04-02 08:06:24
 0  0  91848 474004 378920 3957436    0    0     0    16 1758 3149  1  1 98  0  0 2023-04-02 08:06:25
 0  0  91848 474004 378920 3957440    0    0     0     0  392  711  0  0 100  0  0 2023-04-02 08:06:26
 0  0  91848 474004 378920 3957428    0    0     0     0  361  640  0  0 100  0  0 2023-04-02 08:06:27
 0  0  91848 474004 378920 3957428    0    0     0     0  330  602  0  0 99  0  0 2023-04-02 08:06:28
 0  0  91848 474004 378920 3957428    0    0     0     0  391  724  0  0 100  0  0 2023-04-02 08:06:29
 0  0  91848 474004 378924 3957428    0    0     0    16 1105 2106  1  1 99  0  0 2023-04-02 08:06:30
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0  91848 474004 378924 3957420    0    0     0     0  318  600  0  0 100  0  0 2023-04-02 08:06:31
 0  0  91848 474004 378924 3957420    0    0     0     0  539  976  0  0 99  0  0 2023-04-02 08:06:32
 0  0  91848 474004 378924 3957424    0    0     0     0  632 1134  0  1 99  0  0 2023-04-02 08:06:33
 0  0  91848 474004 378924 3957424    0    0     0     0  329  604  0  0 100  0  0 2023-04-02 08:06:34
 0  0  91848 474004 378932 3957428    0    0     0    16  583 1067  1  1 99  0  0 2023-04-02 08:06:35
 0  0  91848 474004 378932 3957428    0    0     0     0  386  697  0  0 100  0  0 2023-04-02 08:06:36
 0  0  91848 474004 378932 3957428    0    0     0     0  381  686  1  0 99  0  0 2023-04-02 08:06:37
 0  0  91848 474004 378932 3957428    0    0     0     0  612 1046  1  0 98  0  0 2023-04-02 08:06:38
 0  0  91848 474004 378932 3957428    0    0     0     0 1211 2196  1  0 99  0  0 2023-04-02 08:06:39
 0  0  91848 474004 378936 3957436    0    0     0    16  373  666  0  0 99  0  0 2023-04-02 08:06:40
 0  0  91848 474004 378936 3957436    0    0     0     0  528  687  4  0 96  0  0 2023-04-02 08:06:41
 0  0  91848 474004 378936 3957436    0    0     0     0  388  707  0  0 99  0  0 2023-04-02 08:06:42
 1  0  91848 474004 378936 3957436    0    0     0    16  351  613  0  0 100  0  0 2023-04-02 08:06:43
 0  0  91848 474004 378936 3957448    0    0     0     0  326  595  0  0 100  0  0 2023-04-02 08:06:44
 0  0  91848 474004 378936 3957448    0    0     0    44  341  607  0  0 100  0  0 2023-04-02 08:06:45
 0  0  91848 474004 378936 3957448    0    0     0     0  387  705  0  0 100  0  0 2023-04-02 08:06:46
 0  0  91848 474004 378936 3957452    0    0     0     0  418  743  0  0 99  0  0 2023-04-02 08:06:47
 0  0  91848 474004 378936 3957452    0    0     0     0  364  676  0  0 99  0  0 2023-04-02 08:06:48
 0  0  91848 474004 378936 3957452    0    0     0     0  420  740  0  0 100  0  0 2023-04-02 08:06:49
 0  0  91848 474004 378940 3957452    0    0     0    16  386  663  1  0 99  0  0 2023-04-02 08:06:50
 0  0  91848 474004 378940 3957452    0    0     0     0  320  601  0  0 100  0  0 2023-04-02 08:06:51
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0  91848 474004 378940 3957452    0    0     0     0  395  708  0  0 100  0  0 2023-04-02 08:06:52
 0  0  91848 474004 378940 3957452    0    0     0    48  351  614  0  0 100  0  0 2023-04-02 08:06:53
 0  0  91848 474004 378940 3957448    0    0     0     0  343  613  0  0 100  0  0 2023-04-02 08:06:54
 0  0  91848 474004 378944 3957452    0    0     0    16  321  605  0  0 100  0  0 2023-04-02 08:06:55
 0  0  91848 474004 378944 3957452    0    0     0     0  924 1743  0  1 99  0  0 2023-04-02 08:06:56
 0  0  91848 474004 378944 3957452    0    0     0     0  415  745  0  0 100  0  0 2023-04-02 08:06:57
 0  0  91848 474004 378944 3957444    0    0     0     0  385  706  0  0 100  0  0 2023-04-02 08:06:58
 0  0  91848 474004 378944 3957444    0    0     0     0  402  722  0  0 100  0  0 2023-04-02 08:06:59
 0  0  91848 474004 378948 3957444    0    0     0    16  350  611  0  0 99  0  0 2023-04-02 08:07:00
 1  0  91848 474004 378948 3957444    0    0     0     0  518  964  0  0 100  0  0 2023-04-02 08:07:01
 0  0  91848 474004 378948 3957444    0    0     0     0  593 1009  1  0 99  0  0 2023-04-02 08:07:02
 0  0  91848 474004 378948 3957444    0    0     0     0  419  758  0  0 99  0  0 2023-04-02 08:07:03
 0  0  91848 474004 378948 3957444    0    0     0     0  443  764  0  0 99  0  0 2023-04-02 08:07:04
 0  0  91848 474004 378952 3957444    0    0     0    16  331  611  0  0 100  0  0 2023-04-02 08:07:05
 0  0  91848 474004 378952 3957444    0    0     0     0  405  719  0  0 99  0  0 2023-04-02 08:07:06
 1  0  91848 474004 378952 3957444    0    0     0     0  434  739  1  0 99  0  0 2023-04-02 08:07:07
 0  0  91848 474004 378952 3957448    0    0     0     0  973 1660  1  1 98  0  0 2023-04-02 08:07:08
 0  0  91848 474004 378952 3957448    0    0     0     0  370  643  0  1 99  0  0 2023-04-02 08:07:09
 0  0  91848 474004 378956 3957448    0    0     0    16  425  750  0  0 100  0  0 2023-04-02 08:07:10
 0  0  91848 474004 378956 3957448    0    0     0     0  348  617  0  0 100  0  0 2023-04-02 08:07:11
 0  0  91848 474004 378956 3957448    0    0     0     0  382  708  0  0 100  0  0 2023-04-02 08:07:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 474004 378956 3957456    0    0     0    12  348  619  0  0 99  0  0 2023-04-02 08:07:13
 0  0  91848 474004 378956 3957460    0    0     0     0  385  714  0  0 100  0  0 2023-04-02 08:07:14
 0  0  91848 474004 378956 3957460    0    0     0    32  354  626  0  0 99  0  0 2023-04-02 08:07:15
 0  0  91848 474004 378956 3957460    0    0     0     0  389  703  0  0 100  0  0 2023-04-02 08:07:16
 0  0  91848 474004 378956 3957460    0    0     0     0  340  615  0  0 100  0  0 2023-04-02 08:07:17
 0  0  91848 474004 378956 3957460    0    0     0     0  439  790  0  0 99  0  0 2023-04-02 08:07:18
 0  0  91848 474004 378956 3957460    0    0     0     0  395  711  0  0 100  0  0 2023-04-02 08:07:19
 0  0  91848 474004 378960 3957456    0    0     0    28  462  790  1  0 99  0  0 2023-04-02 08:07:20
 0  0  91848 474004 378960 3957460    0    0     0     0  380  699  0  0 100  0  0 2023-04-02 08:07:21
 0  0  91848 474004 378960 3957460    0    0     0     0  393  715  0  0 100  0  0 2023-04-02 08:07:22
 0  0  91848 474004 378960 3957460    0    0     0     0  362  657  0  0 100  0  0 2023-04-02 08:07:23
 0  0  91848 474004 378960 3957460    0    0     0     0  418  762  0  0 100  0  0 2023-04-02 08:07:24
 0  0  91848 474004 378964 3957460    0    0     0    16  402  736  0  0 100  0  0 2023-04-02 08:07:25
 0  0  91848 474004 378964 3957460    0    0     0     0  322  590  0  0 100  0  0 2023-04-02 08:07:26
 0  0  91848 474004 378964 3957460    0    0     0     0  387  712  0  0 100  0  0 2023-04-02 08:07:27
 0  0  91848 474004 378964 3957452    0    0     0     0  371  698  0  0 100  0  0 2023-04-02 08:07:28
 0  0  91848 474004 378964 3957452    0    0     0    20  338  602  0  0 100  0  0 2023-04-02 08:07:29
 0  0  91848 474004 378972 3957456    0    0     0    16  407  722  0  0 100  0  0 2023-04-02 08:07:30
 0  0  91848 474004 378972 3957456    0    0     0     0  325  590  0  0 100  0  0 2023-04-02 08:07:31
 0  0  91848 474004 378972 3957456    0    0     0     0  760 1308  1  1 99  0  0 2023-04-02 08:07:32
 1  0  91848 471964 378972 3957456    0    0     0     0  346  626  0  0 100  0  0 2023-04-02 08:07:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0  91848 471964 378972 3957456    0    0     0    12  426  752  0  0 100  0  0 2023-04-02 08:07:34
 0  0  91848 471964 378980 3957456    0    0     0     4  322  612  0  0 99  0  0 2023-04-02 08:07:35
 0  0  91848 471964 378980 3957456    0    0     0     0  314  581  0  0 100  0  0 2023-04-02 08:07:36
 0  0  91848 474020 378980 3957456    0    0     0     0  450  780  1  1 99  0  0 2023-04-02 08:07:37
 0  0  91848 474020 378980 3957456    0    0     0     0  631 1100  1  0 99  0  0 2023-04-02 08:07:38
 2  0  91848 474020 378980 3957456    0    0     0     0  360  647  0  0 100  0  0 2023-04-02 08:07:39
 0  0  91848 474020 378988 3957456    0    0     0    16  432  800  0  0 100  0  0 2023-04-02 08:07:40
 0  0  91848 474020 378988 3957456    0    0     0     0  399  724  0  0 100  0  0 2023-04-02 08:07:41
 0  0  91848 474020 378988 3957456    0    0     0     0  323  595  0  0 100  0  0 2023-04-02 08:07:42
 0  0  91848 474020 378988 3957456    0    0     0     0  387  693  0  0 100  0  0 2023-04-02 08:07:43
 0  0  91848 471980 378988 3957464    0    0     0     8  584 1065  0  0 99  0  0 2023-04-02 08:07:44
 0  0  91848 471980 378992 3957464    0    0     0    24  412  753  0  0 100  0  0 2023-04-02 08:07:45
 0  0  91848 471980 378992 3957464    0    0     0     4  387  715  0  0 99  0  0 2023-04-02 08:07:46
 0  0  91848 471980 378992 3957464    0    0     0     0  389  710  0  0 100  0  0 2023-04-02 08:07:47
 0  0  91848 471980 378992 3957464    0    0     0     0  376  665  0  0 99  0  0 2023-04-02 08:07:48
 0  0  91848 474036 378992 3957468    0    0     0     0  635 1147  0  1 99  0  0 2023-04-02 08:07:49
 0  0  91848 474036 379000 3957464    0    0     0    16  338  622  0  0 99  0  0 2023-04-02 08:07:50
 0  0  91848 474036 379000 3957472    0    0     0     0  381  697  0  0 100  0  0 2023-04-02 08:07:51
 0  0  91848 474036 379000 3957472    0    0     0     0  822 1478  0  1 99  0  0 2023-04-02 08:07:52
 0  0  91848 474036 379000 3957472    0    0     0     0  365  681  0  0 100  0  0 2023-04-02 08:07:53
 1  0  91848 471996 379000 3957472    0    0     0     0  486  888  0  0 100  0  0 2023-04-02 08:07:54
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0  91848 471996 379008 3957472    0    0     0    16  398  736  0  0 100  0  0 2023-04-02 08:07:55
 0  0  91848 471996 379008 3957472    0    0     0     0 1464 2696  1  1 99  0  0 2023-04-02 08:07:56
 0  0  91848 471744 379008 3957472    0    0     0     0 1192 2252  0  1 99  0  0 2023-04-02 08:07:57
 0  0  91848 471744 379008 3957472    0    0     0     0  595 1169  0  0 99  0  0 2023-04-02 08:07:58
 0  0  91848 471744 379008 3957472    0    0     0     8  401  734  0  0 100  0  0 2023-04-02 08:07:59
 0  0  91848 471744 379012 3957472    0    0     0    16  334  607  0  0 100  0  0 2023-04-02 08:08:00
 0  0  91848 471744 379012 3957464    0    0     0     0  534  972  1  0 99  0  0 2023-04-02 08:08:01
 0  0  91848 471744 379012 3957464    0    0     0     0 1655 2895  1  1 98  0  0 2023-04-02 08:08:02
 2  0  91848 471744 379012 3957464    0    0     0     0 1739 3112  1  1 98  0  0 2023-04-02 08:08:03
 0  0  91848 473800 379012 3957464    0    0     0     0  412  756  0  0 100  0  0 2023-04-02 08:08:04
 0  0  91848 473800 379016 3957464    0    0     0    16  352  636  0  0 100  0  0 2023-04-02 08:08:05
 0  0  91848 473800 379016 3957464    0    0     0     0  704 1250  0  0 99  0  0 2023-04-02 08:08:06
 0  0  91848 473800 379016 3957464    0    0     0     0  534  953  1  0 99  0  0 2023-04-02 08:08:07
 0  0  91848 473800 379016 3957464    0    0     0     0  605 1080  1  0 99  0  0 2023-04-02 08:08:08
 2  0  91848 473800 379016 3957472    0    0     0     0 1094 1960  1  1 99  0  0 2023-04-02 08:08:09
 0  0  91848 473800 379024 3957472    0    0     0    16  434  786  0  0 99  0  0 2023-04-02 08:08:10
 0  0  91848 473800 379024 3957488    0    0     0     0 2058 3865  1  1 98  0  0 2023-04-02 08:08:11
 0  0  91848 473800 379024 3957488    0    0     0     0  394  725  0  0 100  0  0 2023-04-02 08:08:12
 0  0  91848 473800 379024 3957492    0    0     0     0  342  633  0  0 100  0  0 2023-04-02 08:08:13
 0  0  91848 473800 379024 3957492    0    0     0     0  403  735  0  0 99  0  0 2023-04-02 08:08:14
 0  0  91848 473800 379032 3957500    0    0     0    28  324  612  0  0 100  0  0 2023-04-02 08:08:15
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0  91848 473800 379032 3957500    0    0     0     0  894 1723  1  0 99  0  0 2023-04-02 08:08:16
 0  0  91848 473800 379032 3957496    0    0     0     8  957 1617  2  0 97  0  0 2023-04-02 08:08:17
 0  0  91848 473800 379032 3957496    0    0     0     0  372  645  0  0 100  0  0 2023-04-02 08:08:18
 0  0  91848 473800 379032 3957504    0    0     0     0  765 1344  1  1 99  0  0 2023-04-02 08:08:19
 0  0  91848 473800 379036 3957504    0    0     0    36  401  751  0  0 100  0  0 2023-04-02 08:08:20
 0  0  91848 473800 379036 3957504    0    0     0     0  814 1573  0  0 99  0  0 2023-04-02 08:08:21
 3  0  91848 473800 379036 3957504    0    0     0     0 1142 2079  0  1 99  0  0 2023-04-02 08:08:22
 0  0  91848 473800 379036 3957504    0    0     0     0  558 1010  0  0 100  0  0 2023-04-02 08:08:23
 2  0  91848 473548 379036 3957504    0    0     0     0 1085 2021  0  0 99  0  0 2023-04-02 08:08:24
 0  0  91848 473548 379040 3957508    0    0     0    16 1452 2646  1  1 99  0  0 2023-04-02 08:08:25
 0  0  91848 473548 379040 3957508    0    0     0     0  982 1885  1  1 99  0  0 2023-04-02 08:08:26
 1  0  91848 473548 379040 3957508    0    0     0     0  599 1095  0  0 100  0  0 2023-04-02 08:08:27
 0  0  91848 473548 379040 3957508    0    0     0     0  322  591  0  0 100  0  0 2023-04-02 08:08:28
 0  0  91848 473548 379040 3957508    0    0     0     0 1470 2633  1  1 99  0  0 2023-04-02 08:08:29
 0  0  91848 473548 379044 3957512    0    0     0    40  403  725  0  0 100  0  0 2023-04-02 08:08:30
 0  0  91848 473548 379044 3957504    0    0     0     0  594 1062  0  1 99  0  0 2023-04-02 08:08:31
 0  0  91848 473548 379044 3957504    0    0     0     0 1184 2165  1  1 99  0  0 2023-04-02 08:08:32
 0  0  91848 473548 379044 3957516    0    0     0     0 3186 5885  1  1 97  0  0 2023-04-02 08:08:33
 0  0  91848 473548 379044 3957520    0    0     0     0  590 1070  0  0 99  0  0 2023-04-02 08:08:34
 0  0  91848 471508 379052 3957520    0    0     0    16  362  646  0  0 100  0  0 2023-04-02 08:08:35
 0  0  91848 471508 379052 3957520    0    0     0     0  477  878  0  0 100  0  0 2023-04-02 08:08:36
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0  91848 473564 379052 3957520    0    0     0     0 1077 1970  1  1 98  0  0 2023-04-02 08:08:37
 0  0  91848 473564 379052 3957520    0    0     0     0  565 1012  1  0 99  0  0 2023-04-02 08:08:38
 0  0  91848 473564 379052 3957520    0    0     0     0  584 1092  1  0 99  0  0 2023-04-02 08:08:39
 0  0  91848 473564 379056 3957520    0    0     0    20  478  844  1  0 99  0  0 2023-04-02 08:08:40
 0  0  91848 473564 379056 3957520    0    0     0     0  778 1127  4  0 96  0  0 2023-04-02 08:08:41
 0  0  91848 473312 379056 3957520    0    0     0     0  752 1283  0  1 99  0  0 2023-04-02 08:08:42
 0  0  91848 473312 379056 3957528    0    0     0     0  739 1333  0  1 99  0  0 2023-04-02 08:08:43
 0  0  91848 473312 379056 3957528    0    0     0     0  314  594  0  0 100  0  0 2023-04-02 08:08:44
 0  0  91848 471272 379060 3957528    0    0     0    16  351  629  0  0 99  0  0 2023-04-02 08:08:45
 0  0  91848 471272 379060 3957528    0    0     0     0  325  586  0  0 100  0  0 2023-04-02 08:08:46
 0  0  91848 473328 379060 3957528    0    0     0     0  771 1381  1  1 99  0  0 2023-04-02 08:08:47
 0  0  91848 473328 379060 3957536    0    0     0     8 1063 1952  1  1 99  0  0 2023-04-02 08:08:48
 0  0  91848 473328 379060 3957536    0    0     0     0  596 1076  1  1 99  0  0 2023-04-02 08:08:49
 0  0  91848 473328 379068 3957540    0    0     0    52 1743 3214  1  1 99  0  0 2023-04-02 08:08:50
 0  0  91848 473328 379068 3957540    0    0     0     0  396  707  0  0 99  0  0 2023-04-02 08:08:51
 0  0  91848 473328 379068 3957540    0    0     0     0  404  726  0  0 100  0  0 2023-04-02 08:08:52
 0  0  91848 473328 379068 3957540    0    0     0     0 1019 1896  0  0 99  0  0 2023-04-02 08:08:53
 0  0  91848 473328 379068 3957540    0    0     0     0 1024 1834  1  1 99  0  0 2023-04-02 08:08:54
 0  0  91848 473328 379072 3957540    0    0     0    24  406  746  0  0 100  0  0 2023-04-02 08:08:55
 0  0  91848 473328 379072 3957544    0    0     0     0  414  754  0  0 100  0  0 2023-04-02 08:08:56
 0  0  91848 473328 379072 3957544    0    0     0     0  939 1713  1  0 99  0  0 2023-04-02 08:08:57
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0  91848 473328 379072 3957544    0    0     0     0  582 1062  0  0 99  0  0 2023-04-02 08:08:58
 0  0  91848 473328 379072 3957552    0    0     0     0 1086 1950  1  1 99  0  0 2023-04-02 08:08:59
 0  0  91848 473328 379080 3957552    0    0     0    28  788 1410  1  1 99  0  0 2023-04-02 08:09:00
 0  0  91848 473328 379080 3957556    0    0     0     0 1710 3002  1  1 99  0  0 2023-04-02 08:09:01
 1  0  91848 473328 379080 3957552    0    0     0     0  912 1625  1  0 99  0  0 2023-04-02 08:09:02
 0  0  91848 473076 379080 3957552    0    0     0     0 1299 2424  1  1 99  0  0 2023-04-02 08:09:03
 1  0  91848 473076 379080 3957552    0    0     0     0 1103 2090  1  0 99  0  0 2023-04-02 08:09:04
 0  0  91848 473076 379088 3957552    0    0     0    16  417  770  0  0 100  0  0 2023-04-02 08:09:05
 0  0  91848 473076 379088 3957548    0    0     0     0 1145 2042  1  1 98  0  0 2023-04-02 08:09:06
 0  0  91848 473076 379088 3957548    0    0     0     0  617 1080  1  1 99  0  0 2023-04-02 08:09:07
 4  0  91848 473076 379088 3957548    0    0     0     0 2226 3928  2  2 97  0  0 2023-04-02 08:09:08
 0  0  91848 473076 379088 3957560    0    0     0     0  526  954  0  1 99  0  0 2023-04-02 08:09:09
 0  0  91848 473076 379096 3957560    0    0     0    20 1114 1960  1  1 99  0  0 2023-04-02 08:09:10
 0  0  91848 473076 379096 3957560    0    0     0     0  937 1777  1  1 99  0  0 2023-04-02 08:09:11
 0  0  91848 473076 379096 3957560    0    0     0     0  331  611  0  0 100  0  0 2023-04-02 08:09:12
 0  0  91848 473076 379096 3957560    0    0     0     0  348  613  0  0 99  0  0 2023-04-02 08:09:13
 0  0  91848 473076 379096 3957560    0    0     0     0  710 1282  0  0 99  0  0 2023-04-02 08:09:14
 0  0  91848 473076 379100 3957564    0    0     0    16  343  610  0  0 99  0  0 2023-04-02 08:09:15
 0  0  91848 473076 379100 3957564    0    0     0     0  730 1325  1  1 99  0  0 2023-04-02 08:09:16
 0  0  91848 473076 379100 3957564    0    0     0     0  317  590  0  0 100  0  0 2023-04-02 08:09:17
 0  0  91848 473076 379100 3957568    0    0     0     0 1565 2847  1  1 98  0  0 2023-04-02 08:09:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0  91848 473076 379100 3957576    0    0     0     8  847 1521  1  1 98  0  0 2023-04-02 08:09:19
 0  0  91848 473076 379100 3957576    0    0     0    40  394  743  0  0 100  0  0 2023-04-02 08:09:20
 0  0  91848 473076 379100 3957576    0    0     0    12  340  622  0  0 100  0  0 2023-04-02 08:09:21
 0  0  91848 473076 379100 3957576    0    0     0     0  375  704  0  0 100  0  0 2023-04-02 08:09:22
 0  0  91848 473076 379100 3957576    0    0     0     0  875 1590  0  1 99  0  0 2023-04-02 08:09:23
 0  0  91848 473076 379100 3957576    0    0     0     0  392  717  0  0 100  0  0 2023-04-02 08:09:24
 0  0  91848 473076 379104 3957576    0    0     0    24  335  619  0  0 99  0  0 2023-04-02 08:09:25
 0  0  91848 473076 379104 3957576    0    0     0     0  322  603  0  0 100  0  0 2023-04-02 08:09:26
 0  0  91848 473076 379104 3957576    0    0     0     0  387  695  0  0 100  0  0 2023-04-02 08:09:27
 0  0  91848 473076 379104 3957584    0    0     0     0 1072 1865  1  1 99  0  0 2023-04-02 08:09:28
 0  0  91848 473076 379104 3957584    0    0     0     0  398  723  0  0 99  0  0 2023-04-02 08:09:29
 3  0  91848 473076 379112 3957584    0    0     0    28  953 1685  0  1 99  0  0 2023-04-02 08:09:30
 0  0  91848 472824 379112 3957584    0    0     0     0  529  928  1  0 99  0  0 2023-04-02 08:09:31
 0  0  91848 472824 379112 3957584    0    0     0     0  600 1061  0  0 100  0  0 2023-04-02 08:09:32
 3  0  91848 472824 379112 3957584    0    0     0     0  550  978  1  0 99  0  0 2023-04-02 08:09:33
 0  0  91848 472824 379112 3957576    0    0     0     0  751 1419  1  0 99  0  0 2023-04-02 08:09:34
 0  0  91848 472824 379116 3957576    0    0     0    16  345  626  0  0 99  0  0 2023-04-02 08:09:35
 0  0  91848 470784 379116 3957576    0    0     0     0  427  779  0  1 100  0  0 2023-04-02 08:09:36
 0  0  91848 472840 379116 3957576    0    0     0     0  647 1118  2  0 99  0  0 2023-04-02 08:09:37
 0  0  91848 472840 379116 3957576    0    0     0     0  664 1127  1  1 99  0  0 2023-04-02 08:09:38
 0  0  91848 472840 379116 3957584    0    0     0     0  528  980  0  0 100  0  0 2023-04-02 08:09:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0  91848 472840 379124 3957584    0    0     0    20  453  824  0  0 100  0  0 2023-04-02 08:09:40
 0  0  91848 472840 379124 3957584    0    0     0     0  367  691  0  0 100  0  0 2023-04-02 08:09:41
 0  0  91848 472840 379124 3957584    0    0     0     0  357  617  0  0 99  0  0 2023-04-02 08:09:42
 0  0  91848 472840 379124 3957584    0    0     0     0  329  589  0  0 100  0  0 2023-04-02 08:09:43
 0  0  91848 472840 379124 3957584    0    0     0     0  329  611  0  0 100  0  0 2023-04-02 08:09:44
 0  0  91848 472840 379132 3957576    0    0     0    16  405  743  0  0 100  0  0 2023-04-02 08:09:45
 2  0  91848 470800 379132 3957584    0    0     0     0  336  622  0  0 100  0  0 2023-04-02 08:09:46
 0  0  91848 470800 379132 3957584    0    0     0     0  690 1238  0  0 99  0  0 2023-04-02 08:09:47
 0  0  91848 470800 379132 3957584    0    0     0     0  324  598  0  0 100  0  0 2023-04-02 08:09:48
 0  0  91848 470800 379132 3957584    0    0     0     0  419  753  0  0 100  0  0 2023-04-02 08:09:49
 0  0  91848 470800 379140 3957592    0    0     0    28  417  753  0  0 100  0  0 2023-04-02 08:09:50
 0  0  91848 470800 379140 3957592    0    0     0     0  345  620  0  1 100  0  0 2023-04-02 08:09:51
 0  0  91848 470800 379140 3957592    0    0     0     8  353  634  0  0 100  0  0 2023-04-02 08:09:52
 0  0  91848 470800 379140 3957592    0    0     0     0 1010 1897  0  0 99  0  0 2023-04-02 08:09:53
 0  0  91848 470800 379140 3957592    0    0     0     0  380  716  0  0 100  0  0 2023-04-02 08:09:54
 0  0  91848 470800 379144 3957592    0    0     0    36  347  604  0  0 100  0  0 2023-04-02 08:09:55
 2  0  91848 470816 379144 3957592    0    0     0     0  751 1367  1  1 99  0  0 2023-04-02 08:09:56
 0  0  91848 470816 379144 3957592    0    0     0     0 1204 2089  1  1 99  0  0 2023-04-02 08:09:57
 0  0  91848 470816 379144 3957600    0    0     0     0 1450 2640  1  1 98  0  0 2023-04-02 08:09:58
 0  0  91848 470816 379144 3957600    0    0     0     0  398  723  0  0 100  0  0 2023-04-02 08:09:59
 0  0  91848 470816 379152 3957604    0    0     0    40  365  659  0  0 100  0  0 2023-04-02 08:10:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0  91848 470816 379152 3957604    0    0     0     0  525  939  0  1 99  0  0 2023-04-02 08:10:01
 0  0  91848 470816 379152 3957604    0    0     0     0  848 1512  1  1 99  0  0 2023-04-02 08:10:02
 0  0  91848 472872 379152 3957604    0    0     0     0  326  576  0  0 100  0  0 2023-04-02 08:10:03
 0  0  91848 472872 379152 3957604    0    0     0     0  330  598  0  0 100  0  0 2023-04-02 08:10:04
 0  0  91848 472872 379160 3957600    0    0     0    16  380  689  0  0 99  0  0 2023-04-02 08:10:05
 0  0  91848 472872 379160 3957604    0    0     0     0  394  723  0  0 100  0  0 2023-04-02 08:10:06
 0  0  91848 472872 379160 3957604    0    0     0     0 1037 1795  1  1 98  0  0 2023-04-02 08:10:07
 0  0  91848 472872 379160 3957604    0    0     0     0  953 1744  1  1 99  0  0 2023-04-02 08:10:08
 0  0  91848 472872 379160 3957604    0    0     0     0  323  613  0  0 100  0  0 2023-04-02 08:10:09
 0  0  91848 472872 379164 3957604    0    0     0    20  425  758  0  0 99  0  0 2023-04-02 08:10:10
 0  0  91848 472872 379164 3957604    0    0     0     0  371  676  0  0 100  0  0 2023-04-02 08:10:11
